BDA ID,Day_Month_Year,Day of Year,Serial Date,,,,
0001,23_4_2007, 112 ,42848,,,,
0001,24_4_2007, 113 ,42849,,,,
0001,7_4_2011, 96 ,42832,,,,
0002,20_4_2007, 109 ,42845,,,,
0002,21_4_2007, 110 ,42846,,,,
0002,21_4_2007, 110 ,42846,,,,
0002,23_4_2007, 112 ,42848,,,,
0002,24_4_2007, 113 ,42849,,,,
0002,13_4_2010, 102 ,42838,,,,
0002,13_4_2011, 102 ,42838,,,,
0002,17_4_2011, 106 ,42842,,,,
0002,23_1_2012, 22 ,42758,,,,
0002,28_4_2012, 117 ,42853,,,,
0002,19_4_2013, 108 ,42844,,,,
0002,20_4_2013, 109 ,42845,,,,
0002,21_4_2013, 110 ,42846,,,,
0002,8_5_2014, 127 ,42863,,,,
0002,21_4_2017, 110 ,42846,,,,
0002,23_4_2017, 112 ,42848,,,,
0003,23_4_2007, 112 ,42848,,,,
0003,22_4_2010, 111 ,42847,,,,
0004,23_4_2007, 112 ,42848,,,,
0004,24_4_2007, 113 ,42849,,,,
0004,30_4_2009, 119 ,42855,,,,
0004,8_4_2010, 97 ,42833,,,,
0004,13_4_2010, 102 ,42838,,,,
0004,27_4_2016, 116 ,42852,,,,
0004,2_5_2016, 121 ,42857,,,,
0004,22_4_2017, 111 ,42847,,,,
0006,20_4_2007, 109 ,42845,,,,
0006,21_4_2007, 110 ,42846,,,,
0006,4_4_2011, 93 ,42829,,,,
0006,12_3_2016, 70 ,42806,,,,
0006,13_3_2016, 71 ,42807,,,,
0006,26_3_2017, 84 ,42820,,,,
0008,18_4_2007, 107 ,42843,,,,
0008,21_4_2007, 110 ,42846,,,,
0008,15_4_2013, 104 ,42840,,,,
0008,18_4_2013, 107 ,42843,,,,
0010,31_3_2007, 89 ,42825,,,,
0011,31_3_2007, 89 ,42825,,,,
0012,31_3_2007, 89 ,42825,,,,
0013,1_4_2007, 90 ,42826,,,,
0013,12_4_2010, 101 ,42837,,,,
0014,15_4_2007, 104 ,42840,,,,
0014,26_4_2012, 115 ,42851,,,,
0015,21_4_2007, 110 ,42846,,,,
0016,21_4_2007, 110 ,42846,,,,
0017,26_4_2007, 115 ,42851,,,,
0017,27_4_2007, 116 ,42852,,,,
0018,28_4_2007, 117 ,42853,,,,
0026,11_3_2008, 69 ,42805,,,,
0027,11_3_2008, 69 ,42805,,,,
0028,22_3_2008, 80 ,42816,,,,
0029,27_3_2008, 85 ,42821,,,,
0030,27_3_2008, 85 ,42821,,,,
0033,29_3_2008, 87 ,42823,,,,
0034,6_4_2008, 95 ,42831,,,,
0035,6_4_2008, 95 ,42831,,,,
0036,6_4_2008, 95 ,42831,,,,
0037,11_4_2008, 100 ,42836,,,,
0038,11_4_2008, 100 ,42836,,,,
0039,2_4_2006, 91 ,42827,,,,
0039,11_4_2008, 100 ,42836,,,,
0039,29_3_2009, 87 ,42823,,,,
0039,12_4_2010, 101 ,42837,,,,
0039,15_4_2011, 104 ,42840,,,,
0039,18_4_2011, 107 ,42843,,,,
0039,12_4_2014, 101 ,42837,,,,
0040,11_4_2008, 100 ,42836,,,,
0041,11_4_2008, 100 ,42836,,,,
0041,12_4_2008, 101 ,42837,,,,
0041,15_4_2012, 104 ,42840,,,,
0041,22_3_2013, 80 ,42816,,,,
0042,11_4_2008, 100 ,42836,,,,
0043,11_4_2008, 100 ,42836,,,,
0043,19_4_2009, 108 ,42844,,,,
0045,11_4_2008, 100 ,42836,,,,
0046,20_4_2008, 109 ,42845,,,,
0047,20_4_2008, 109 ,42845,,,,
0047,5_4_2009, 94 ,42830,,,,
0047,19_4_2010, 108 ,42844,,,,
0047,20_4_2012, 109 ,42845,,,,
0047,27_4_2013, 116 ,42852,,,,
0047,4_5_2013, 123 ,42859,,,,
0047,5_5_2013, 124 ,42860,,,,
0047,26_4_2014, 115 ,42851,,,,
0048,20_4_2008, 109 ,42845,,,,
0049,20_4_2008, 109 ,42845,,,,
0050,21_4_2008, 110 ,42846,,,,
0051,21_4_2008, 110 ,42846,,,,
0052,21_4_2008, 110 ,42846,,,,
0052,29_4_2008, 118 ,42854,,,,
0052,22_4_2015, 111 ,42847,,,,
0053,28_4_2008, 117 ,42853,,,,
0055,28_4_2008, 117 ,42853,,,,
0055,20_4_2011, 109 ,42845,,,,
0055,24_4_2011, 113 ,42849,,,,
0055,26_4_2011, 115 ,42851,,,,
0055,15_4_2013, 104 ,42840,,,,
0057,28_4_2008, 117 ,42853,,,,
0057,23_4_2015, 112 ,42848,,,,
0058,29_4_2008, 118 ,42854,,,,
0059,29_4_2008, 118 ,42854,,,,
0060,29_4_2008, 118 ,42854,,,,
0060,19_3_2011, 77 ,42813,,,,
0061,29_4_2008, 118 ,42854,,,,
0062,4_5_2008, 123 ,42859,,,,
0063,5_5_2008, 124 ,42860,,,,
0064,5_5_2008, 124 ,42860,,,,
0065,8_5_2008, 127 ,42863,,,,
0067,8_5_2008, 127 ,42863,,,,
0068,11_4_2008, 100 ,42836,,,,
0100,29_1_2009, 28 ,42764,,,,
0101,29_1_2009, 28 ,42764,,,,
0103,27_3_2008, 85 ,42821,,,,
0103,21_3_2010, 79 ,42815,,,,
0104,27_3_2008, 85 ,42821,,,,
0104,21_3_2010, 79 ,42815,,,,
0104,13_3_2012, 71 ,42807,,,,
0104,13_3_2013, 71 ,42807,,,,
0105,5_5_2008, 124 ,42860,,,,
0107,12_4_2008, 101 ,42837,,,,
0108,12_4_2008, 101 ,42837,,,,
0109,12_4_2008, 101 ,42837,,,,
0110,12_4_2008, 101 ,42837,,,,
0110,18_4_2013, 107 ,42843,,,,
0111,12_4_2008, 101 ,42837,,,,
0115,12_4_2008, 101 ,42837,,,,
0116,11_4_2008, 100 ,42836,,,,
0117,11_4_2008, 100 ,42836,,,,
0119,29_3_2008, 87 ,42823,,,,
0122,27_3_2008, 85 ,42821,,,,
0123,23_4_2008, 112 ,42848,,,,
0124,27_3_2008, 85 ,42821,,,,
0140,7_3_2009, 65 ,42801,,,,
0141,12_3_2009, 70 ,42806,,,,
0141,18_3_2013, 76 ,42812,,,,
0141,19_3_2013, 77 ,42813,,,,
0141,25_3_2017, 83 ,42819,,,,
0142,12_3_2009, 70 ,42806,,,,
0142,11_3_2015, 69 ,42805,,,,
0142,12_3_2015, 70 ,42806,,,,
0142,10_3_2016, 68 ,42804,,,,
0143,12_3_2009, 70 ,42806,,,,
0144,12_3_2009, 70 ,42806,,,,
0144,13_3_2016, 71 ,42807,,,,
0144,13_4_2016, 102 ,42838,,,,
0144,14_4_2016, 103 ,42839,,,,
0144,9_4_2017, 98 ,42834,,,,
0144,9_4_2017, 98 ,42834,,,,
0145,12_3_2009, 70 ,42806,,,,
0145,10_3_2015, 68 ,42804,,,,
0146,12_3_2009, 70 ,42806,,,,
0147,12_3_2009, 70 ,42806,,,,
0148,15_3_2009, 73 ,42809,,,,
0148,20_3_2015, 78 ,42814,,,,
0149,15_3_2009, 73 ,42809,,,,
0150,19_3_2009, 77 ,42813,,,,
0151,29_3_2009, 87 ,42823,,,,
0152,29_3_2009, 87 ,42823,,,,
0152,4_4_2013, 93 ,42829,,,,
0153,29_3_2009, 87 ,42823,,,,
0153,24_3_2013, 82 ,42818,,,,
0154,29_3_2009, 87 ,42823,,,,
0155,29_3_2009, 87 ,42823,,,,
0156,12_3_2009, 70 ,42806,,,,
0157,2_4_2009, 91 ,42827,,,,
0158,13_4_2007, 102 ,42838,,,,
0158,2_4_2009, 91 ,42827,,,,
0159,2_4_2009, 91 ,42827,,,,
0160,2_4_2009, 91 ,42827,,,,
0160,7_4_2010, 96 ,42832,,,,
0161,2_4_2009, 91 ,42827,,,,
0162,2_4_2009, 91 ,42827,,,,
0162,3_4_2013, 92 ,42828,,,,
0162,3_4_2015, 92 ,42828,,,,
0163,2_4_2009, 91 ,42827,,,,
0164,2_4_2009, 91 ,42827,,,,
0165,2_4_2009, 91 ,42827,,,,
0166,2_4_2009, 91 ,42827,,,,
0166,5_4_2009, 94 ,42830,,,,
0169,2_4_2009, 91 ,42827,,,,
0170,2_4_2009, 91 ,42827,,,,
0171,2_4_2009, 91 ,42827,,,,
0172,2_4_2009, 91 ,42827,,,,
0173,2_4_2009, 91 ,42827,,,,
0173,21_3_2010, 79 ,42815,,,,
0174,2_4_2009, 91 ,42827,,,,
0174,30_4_2013, 119 ,42855,,,,
0174,16_4_2017, 105 ,42841,,,,
0175,5_4_2009, 94 ,42830,,,,
0176,5_4_2009, 94 ,42830,,,,
0179,5_4_2009, 94 ,42830,,,,
0179,2_4_2014, 91 ,42827,,,,
0179,12_4_2014, 101 ,42837,,,,
0180,5_4_2009, 94 ,42830,,,,
0180,14_4_2016, 103 ,42839,,,,
0181,5_4_2009, 94 ,42830,,,,
0181,6_4_2009, 95 ,42831,,,,
0181,12_4_2013, 101 ,42837,,,,
0182,5_4_2009, 94 ,42830,,,,
0183,5_4_2009, 94 ,42830,,,,
0185,5_4_2009, 94 ,42830,,,,
0189,5_4_2009, 94 ,42830,,,,
0189,8_4_2015, 97 ,42833,,,,
0190,5_4_2009, 94 ,42830,,,,
0191,5_4_2009, 94 ,42830,,,,
0191,15_4_2012, 104 ,42840,,,,
0191,9_4_2015, 98 ,42834,,,,
0192,6_4_2009, 95 ,42831,,,,
0194,6_4_2009, 95 ,42831,,,,
0196,6_4_2009, 95 ,42831,,,,
0197,6_4_2009, 95 ,42831,,,,
0198,6_4_2009, 95 ,42831,,,,
0199,5_4_2009, 94 ,42830,,,,
0199,6_4_2009, 95 ,42831,,,,
0200,6_4_2009, 95 ,42831,,,,
0201,6_4_2009, 95 ,42831,,,,
0202,6_4_2009, 95 ,42831,,,,
0204,6_4_2009, 95 ,42831,,,,
0205,5_4_2009, 94 ,42830,,,,
0218,6_4_2009, 95 ,42831,,,,
0219,7_4_2009, 96 ,42832,,,,
0219,11_4_2009, 100 ,42836,,,,
0219,7_4_2010, 96 ,42832,,,,
0219,8_4_2010, 97 ,42833,,,,
0219,9_4_2010, 98 ,42834,,,,
0219,11_4_2013, 100 ,42836,,,,
0220,11_4_2009, 100 ,42836,,,,
0220,31_3_2013, 89 ,42825,,,,
0221,11_4_2009, 100 ,42836,,,,
0222,11_4_2009, 100 ,42836,,,,
0223,5_5_2005, 124 ,42860,,,,
0223,24_4_2007, 113 ,42849,,,,
0223,11_4_2009, 100 ,42836,,,,
0223,28_4_2012, 117 ,42853,,,,
0223,12_4_2013, 101 ,42837,,,,
0223,11_4_2015, 100 ,42836,,,,
0224,11_4_2009, 100 ,42836,,,,
0224,15_4_2013, 104 ,42840,,,,
0225,11_4_2009, 100 ,42836,,,,
