"id","date","yearday","serialday"
1,2007-04-23,112,42848
1,2007-04-24,113,42849
1,2011-04-07,96,42832
2,2007-04-20,109,42845
2,2007-04-21,110,42846
2,2007-04-21,110,42846
2,2007-04-23,112,42848
2,2007-04-24,113,42849
2,2010-04-13,102,42838
2,2011-04-13,102,42838
2,2011-04-17,106,42842
2,2012-01-23,22,42758
2,2012-04-28,117,42853
2,2013-04-19,108,42844
2,2013-04-20,109,42845
2,2013-04-21,110,42846
2,2014-05-08,127,42863
2,2017-04-21,110,42846
2,2017-04-23,112,42848
3,2007-04-23,112,42848
3,2010-04-22,111,42847
4,2007-04-23,112,42848
4,2007-04-24,113,42849
4,2009-04-30,119,42855
4,2010-04-08,97,42833
4,2010-04-13,102,42838
4,2016-04-27,116,42852
4,2016-05-02,121,42857
4,2017-04-22,111,42847
6,2007-04-20,109,42845
6,2007-04-21,110,42846
6,2011-04-04,93,42829
6,2016-03-12,70,42806
6,2016-03-13,71,42807
6,2017-03-26,84,42820
8,2007-04-18,107,42843
8,2007-04-21,110,42846
8,2013-04-15,104,42840
8,2013-04-18,107,42843
10,2007-03-31,89,42825
11,2007-03-31,89,42825
12,2007-03-31,89,42825
13,2007-04-01,90,42826
13,2010-04-12,101,42837
14,2007-04-15,104,42840
14,2012-04-26,115,42851
15,2007-04-21,110,42846
16,2007-04-21,110,42846
17,2007-04-26,115,42851
17,2007-04-27,116,42852
18,2007-04-28,117,42853
26,2008-03-11,69,42805
27,2008-03-11,69,42805
28,2008-03-22,80,42816
29,2008-03-27,85,42821
30,2008-03-27,85,42821
33,2008-03-29,87,42823
34,2008-04-06,95,42831
35,2008-04-06,95,42831
36,2008-04-06,95,42831
37,2008-04-11,100,42836
38,2008-04-11,100,42836
39,2006-04-02,91,42827
39,2008-04-11,100,42836
39,2009-03-29,87,42823
39,2010-04-12,101,42837
39,2011-04-15,104,42840
39,2011-04-18,107,42843
39,2014-04-12,101,42837
40,2008-04-11,100,42836
41,2008-04-11,100,42836
41,2008-04-12,101,42837
41,2012-04-15,104,42840
41,2013-03-22,80,42816
42,2008-04-11,100,42836
43,2008-04-11,100,42836
43,2009-04-19,108,42844
45,2008-04-11,100,42836
46,2008-04-20,109,42845
47,2008-04-20,109,42845
47,2009-04-05,94,42830
47,2010-04-19,108,42844
47,2012-04-20,109,42845
47,2013-04-27,116,42852
47,2013-05-04,123,42859
47,2013-05-05,124,42860
47,2014-04-26,115,42851
48,2008-04-20,109,42845
49,2008-04-20,109,42845
50,2008-04-21,110,42846
